%dplate[mm]	mode	torchangle	I[A]	U[V]	vDraht[m/min]	_xStickO[mm]	PL[W]	Wave[nm]	_yfocus[mm]	radius_focus[mm]	vF[m/min]	Total
c	11
0.75	1	52.3	54	12.6	1.8	13	0	1025	0	2	0.5	11.5
0.75	1	52.3	54	12.6	1.8	13	0	1025	0	2	1	3.75
0.75	1	52.3	54	12.6	1.8	13	0	1025	0	2	1	3.75
0.75	1	52.3	54	12.6	1.8	13	0	1025	0	2	1	3.75
0.75	1	52.3	54	12.6	1.8	13	0	1025	0	2	0.5	11.5
0.75	1	52.3	54	12.6	1.8	13	0	1025	0	2	1.5	3.75
0.75	1	52.3	54	12.6	1.8	13	0	1025	0	2	1.5	3.75
0.75	1	52.3	54	12.6	1.8	13	0	1025	0	2	1.5	3.75
0.75	1	52.3	54	12.6	1.8	13	0	1025	0	2	2	3.75
0.75	1	52.3	54	12.6	1.8	13	0	1025	0	2	2	3.75
0.75	1	52.3	54	12.6	1.8	13	0	1025	0	2	2	3.75
0.75	1	52.3	54	12.6	1.8	13	500	1025	0	2	0.5	13
0.75	1	52.3	54	12.6	1.8	13	500	1025	0	2	0.5	13
0.75	1	52.3	54	12.6	1.8	13	500	1025	0	2	0.5	13
0.75	1	52.3	54	12.6	1.8	13	500	1025	0	2	1	10.5
0.75	1	52.3	54	12.6	1.8	13	500	1025	0	2	1	10.5
0.75	1	52.3	54	12.6	1.8	13	500	1025	0	2	1	10
0.75	1	52.3	54	12.6	1.8	13	500	1025	0	2	1.5	9.25
0.75	1	52.3	54	12.6	1.8	13	500	1025	0	2	1.5	9
0.75	1	52.3	54	12.6	1.8	13	500	1025	0	2	1.5	8.5
0.75	1	52.3	54	12.6	1.8	13	500	1025	0	2	2	9
0.75	1	52.3	54	12.6	1.8	13	500	1025	0	2	2	9
0.75	1	52.3	54	12.6	1.8	13	500	1025	0	2	2	9
0.75	1	52.3	54	12.6	1.8	13	750	1025	0	2	0.5	4
0.75	1	52.3	54	12.6	1.8	13	750	1025	0	2	0.5	4
0.75	1	52.3	54	12.6	1.8	13	750	1025	0	2	0.5	-4
0.75	1	52.3	54	12.6	1.8	13	750	1025	0	2	1	12.75
0.75	1	52.3	54	12.6	1.8	13	750	1025	0	2	1	12.75
0.75	1	52.3	54	12.6	1.8	13	750	1025	0	2	1	12.75
0.75	1	52.3	54	12.6	1.8	13	750	1025	0	2	1.5	10.5
0.75	1	52.3	54	12.6	1.8	13	750	1025	0	2	1.5	10.5
0.75	1	52.3	54	12.6	1.8	13	750	1025	0	2	1.5	10.5
0.75	1	52.3	54	12.6	1.8	13	750	1025	0	2	2	9
0.75	1	52.3	54	12.6	1.8	13	750	1025	0	2	2	9
0.75	1	52.3	54	12.6	1.8	13	750	1025	0	2	2	9
0.75	1	52.3	54	12.6	1.8	13	800	1025	0	2	2.5	8.5
0.75	1	52.3	54	12.6	1.8	13	800	1025	0	2	3	8
0.75	1	52.3	54	12.6	1.8	13	900	1025	0	2	3	8.5
0.75	1	52.3	67	13	2.2	13	800	1025	0	2	3	8.5
0.5	1	52.3	54	12.6	1.8	13	0	1025	0	2	1	12.5
0.5	1	52.3	54	12.6	1.8	13	0	1025	0	2	1	10.75
0.5	1	52.3	54	12.6	1.8	13	0	1025	0	2	1	13
0.5	1	52.3	54	12.6	1.8	13	0	1025	0	2	2	3.75
0.5	1	52.3	54	12.6	1.8	13	0	1025	0	2	2	3.75
0.5	1	52.3	54	12.6	1.8	13	0	1025	0	2	2	3.75
